VARIABLES=X/D,CP(0),CP(30),CP(60),CP(90),CP(120),CP(150),CP(180)
ZONE T="BODY CP AT MACH=  2.36 ALPHA=  0.00"
      6.060000  -0.01161  -0.01161  -0.01161  -0.01161  -0.01161  -0.01161  -0.01161
      6.442501  -0.01000  -0.01000  -0.01000  -0.01000  -0.01000  -0.01000  -0.01000
      6.847501  -0.00861  -0.00861  -0.00861  -0.00861  -0.00861  -0.00861  -0.00861
      7.275001  -0.00738  -0.00738  -0.00738  -0.00738  -0.00738  -0.00738  -0.00738
      7.725000  -0.00639  -0.00639  -0.00639  -0.00639  -0.00639  -0.00639  -0.00639
      8.197500  -0.00552  -0.00552  -0.00552  -0.00552  -0.00552  -0.00552  -0.00552
      8.692500  -0.00476  -0.00476  -0.00476  -0.00476  -0.00476  -0.00476  -0.00476
      9.210000  -0.00403  -0.00403  -0.00403  -0.00403  -0.00403  -0.00403  -0.00403
      9.750000  -0.00340  -0.00340  -0.00340  -0.00340  -0.00340  -0.00340  -0.00340
     10.000000  -0.00328  -0.00328  -0.00328  -0.00328  -0.00328  -0.00328  -0.00328
ZONE T="BODY CP AT MACH=  2.36 ALPHA=  4.00"
      0.000000   0.21324   0.22070   0.24333   0.27990   0.32379   0.36111   0.37596
      0.027563   0.20901   0.21642   0.23886   0.27518   0.31881   0.35594   0.37072
      0.036025   0.20770   0.21508   0.23745   0.27369   0.31722   0.35428   0.36904
      0.047066   0.20605   0.21339   0.23568   0.27180   0.31522   0.35220   0.36694
      0.061462   0.20386   0.21116   0.23334   0.26932   0.31259   0.34946   0.36416
      0.080210   0.20103   0.20829   0.23034   0.26612   0.30920   0.34594   0.36058
      0.104591   0.19738   0.20457   0.22644   0.26198   0.30482   0.34138   0.35596
      0.136237   0.19268   0.19979   0.22143   0.25665   0.29917   0.33550   0.35000
      0.177214   0.18666   0.19366   0.21501   0.24982   0.29193   0.32796   0.34235
      0.230103   0.17901   0.18587   0.20684   0.24113   0.28271   0.31836   0.33260
      0.298088   0.16936   0.17605   0.19653   0.23015   0.27105   0.30620   0.32027
      0.385020   0.15735   0.16381   0.18367   0.21643   0.25647   0.29099   0.30484
      0.495427   0.14259   0.14877   0.16784   0.19952   0.23847   0.27220   0.28575
      0.634452   0.12480   0.13062   0.14872   0.17904   0.21663   0.24936   0.26255
      0.807620   0.10384   0.10922   0.12610   0.15475   0.19065   0.22216   0.23490
      1.020410   0.07984   0.08468   0.10008   0.12668   0.16052   0.19053   0.20273
      1.277532   0.05326   0.05745   0.07106   0.09521   0.12659   0.15479   0.16634
      1.581923   0.02498   0.02840   0.03990   0.06116   0.08963   0.11572   0.12650
      1.933512  -0.00362  -0.00111   0.00793   0.02584   0.05097   0.07461   0.08451
      2.327993  -0.03084  -0.02939  -0.02319  -0.00909   0.01225   0.03314   0.04203
      2.755995  -0.05468  -0.05447  -0.05153  -0.04172  -0.02459  -0.00675   0.00104
      3.000000  -0.06549  -0.06607  -0.06518  -0.05799  -0.04337  -0.02734  -0.02020
      3.000000  -0.06549  -0.06607  -0.06518  -0.05799  -0.04337  -0.02733  -0.02020
      3.022500  -0.06439  -0.06506  -0.06437  -0.05740  -0.04294  -0.02698  -0.01987
      3.067500  -0.06295  -0.06379  -0.06352  -0.05700  -0.04288  -0.02712  -0.02007
      3.135000  -0.05989  -0.06099  -0.06133  -0.05547  -0.04182  -0.02629  -0.01930
      3.225000  -0.05656  -0.05799  -0.05912  -0.05410  -0.04109  -0.02590  -0.01901
      3.337500  -0.05224  -0.05407  -0.05615  -0.05214  -0.03987  -0.02509  -0.01831
      3.472500  -0.04756  -0.04985  -0.05300  -0.05014  -0.03873  -0.02442  -0.01778
      3.630000  -0.04244  -0.04521  -0.04953  -0.04792  -0.03744  -0.02365  -0.01717
      3.810000  -0.03714  -0.04043  -0.04596  -0.04563  -0.03614  -0.02290  -0.01660
      4.012500  -0.03177  -0.03556  -0.04229  -0.04326  -0.03476  -0.02210  -0.01598
      4.237500  -0.02651  -0.03079  -0.03866  -0.04086  -0.03333  -0.02126  -0.01533
      4.485000  -0.02158  -0.02629  -0.03520  -0.03853  -0.03190  -0.02040  -0.01466
      4.755000  -0.01702  -0.02210  -0.03189  -0.03621  -0.03039  -0.01943  -0.01388
      5.047500  -0.01298  -0.01835  -0.02885  -0.03398  -0.02887  -0.01838  -0.01301
      5.362500  -0.00943  -0.01502  -0.02603  -0.03178  -0.02723  -0.01717  -0.01195
      5.700000  -0.00652  -0.01223  -0.02357  -0.02974  -0.02562  -0.01589  -0.01082
      6.060000  -0.00411  -0.00987  -0.02136  -0.02777  -0.02393  -0.01447  -0.00950
      6.442501  -0.00224  -0.00799  -0.01948  -0.02595  -0.02228  -0.01300  -0.00811
      6.847501  -0.00085  -0.00654  -0.01791  -0.02432  -0.02070  -0.01152  -0.00670
      7.275001   0.00017  -0.00542  -0.01658  -0.02285  -0.01918  -0.01005  -0.00525
      7.725000   0.00084  -0.00464  -0.01556  -0.02160  -0.01783  -0.00869  -0.00391
      8.197500   0.00131  -0.00405  -0.01471  -0.02050  -0.01659  -0.00741  -0.00264
      8.692500   0.00166  -0.00359  -0.01400  -0.01955  -0.01548  -0.00624  -0.00145
      9.210000   0.00199  -0.00316  -0.01334  -0.01867  -0.01446  -0.00514  -0.00033
      9.750000   0.00229  -0.00278  -0.01279  -0.01793  -0.01357  -0.00418   0.00065
     10.000000   0.00228  -0.00276  -0.01269  -0.01776  -0.01335  -0.00393   0.00091
ZONE T="BODY CP AT MACH=  2.36 ALPHA=  8.00"
